Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.005915692307692278,0.000231,0.0005990000000000001,0.0023725000000000005,0.005915692307692278,0.000859,7.05e-05,0.0,0.0,0.027424999999999998,0.0003635,0.000403,0.000403,0.017786000000000003,0.0263915
Borda,0.0120092307692307,0.00245,0.00725,0.0016000000000000003,0.0120092307692307,0.09629,0.0,0.015969999999999998,0.0,0.01462,1e-05,1e-05,1e-05,0.00791,0.009999999999999998
EPH,0.02500999999999995,0.00035999999999999997,0.0025900000000000003,0.0,0.02500999999999995,0.20565,0.004809999999999999,0.00147,0.0,0.04292,0.0,0.0,0.0,0.03003,0.0373
SNTV,0.07852692307692302,0.0,0.10891999999999999,0.13305,0.07852692307692302,0.48336,0.01542,0.11159,0.038919999999999996,0.04425,0.00015,0.04094,0.0411,0.0,0.00315
STV,0.03361769230769227,0.0,0.04272,0.05348,0.03361769230769227,0.29669,0.0045000000000000005,0.03919,0.0,0.0,0.0,0.00013,0.00013,0.0,0.00019
Bloc,0.024333846153846123,0.00015999999999999999,0.00246,0.0,0.024333846153846123,0.19783,0.004809999999999999,0.0,0.0,0.04224,0.0,0.0,0.0,0.02953,0.03931
CC,0.16500692307692302,0.054060000000000004,0.16369,0.21725,0.16500692307692302,0.66121,0.06939999999999999,0.17963,0.05849,0.23159,0.0,0.07243000000000001,0.07297000000000001,0.16697,0.19740000000000002
lex-CC,0.04643230769230765,0.00935,0.01321,0.0,0.04643230769230765,0.36205,0.004809999999999999,0.033479999999999996,0.0,0.07039999999999999,0.0,0.0,0.0,0.054,0.056319999999999995
seq-CC,0.14864384615384613,0.04728999999999999,0.15592,0.18359999999999999,0.14864384615384613,0.62902,0.04358,0.17721,0.05863,0.20634,0.0,0.0606,0.061079999999999995,0.14366,0.16544
Monroe,0.0973461538461538,0.01578,0.08913,0.12453,0.0973461538461538,0.5244300000000001,0.04935,0.08452,0.0,0.13554,0.0,0.00053,0.00053,0.11079,0.13036999999999999
Greedy M.,0.04438153846153843,0.00235,0.02632,0.00589,0.04438153846153843,0.34676,0.00641,0.03272,0.0,0.06136,0.0,0.0,0.0,0.04525,0.0499
PAV,0.0284161538461538,0.00084,0.00304,0.0,0.0284161538461538,0.24258000000000002,0.0048,0.00639,0.0,0.04501,0.0,0.0,0.0,0.03163,0.03512
MES,0.030355384615384548,0.00091,0.00367,0.0013599999999999999,0.030355384615384548,0.25675000000000003,0.0047,0.008799999999999999,0.0,0.04782,0.0,0.0,0.0,0.03402,0.03659
MAV,0.13472076923076917,0.05398,0.13598,0.12814,0.13472076923076917,0.69977,0.09716999999999999,0.14995,0.0,0.14747,0.01328,0.01485,0.01485,0.11828999999999999,0.17764
RSD,0.0884515384615384,0.02245,0.08489,0.0,0.0884515384615384,0.53676,0.03997,0.06983,0.0,0.09276000000000001,0.02232,0.02361,0.02361,0.07272,0.16095
Random,0.217086923076923,0.10771,0.21333999999999997,0.28449,0.217086923076923,0.80389,0.12646000000000002,0.22488000000000002,0.07075000000000001,0.24783,0.048639999999999996,0.11050000000000001,0.11140000000000001,0.18755,0.28469
