# Alternatives,# Winners,Distribution,Overlap Count,Overlap Percent
5,4,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
6,1,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
6,2,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
6,3,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
6,4,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
6,5,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
7,1,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
7,2,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
7,3,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
7,4,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
7,5,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
7,6,euclidean__args__dimensions=10_-_space=gaussian_ball,0,0.0
5,1,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
5,2,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
5,3,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
5,4,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
6,1,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
6,2,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
6,3,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
6,4,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
6,5,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
7,1,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
7,2,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
7,3,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
7,4,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
7,5,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
7,6,euclidean__args__dimensions=3_-_space=uniform_ball,0,0.0
5,1,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
5,2,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
5,3,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
5,4,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
6,1,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
6,2,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
6,3,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
6,4,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
6,5,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
7,1,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
7,2,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
7,3,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
7,4,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
7,5,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
7,6,euclidean__args__dimensions=10_-_space=uniform_ball,0,0.0
5,1,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
5,2,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
5,3,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
5,4,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
6,1,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
6,2,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
6,3,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
6,4,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
6,5,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
7,1,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
7,2,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
7,3,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
7,4,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
7,5,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
7,6,euclidean__args__dimensions=3_-_space=gaussian_cube,0,0.0
5,1,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
5,2,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
5,3,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
5,4,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
6,1,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
6,2,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
6,3,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
6,4,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
6,5,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
7,1,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
7,3,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
7,4,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
7,5,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
7,6,euclidean__args__dimensions=10_-_space=gaussian_cube,0,0.0
5,1,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
5,2,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
5,3,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
5,4,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
6,1,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
6,2,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
6,3,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
6,4,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
6,5,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
7,1,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
7,2,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
7,3,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
7,4,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
7,5,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
7,6,euclidean__args__dimensions=3_-_space=uniform_cube,0,0.0
5,1,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
5,2,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
5,3,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
5,4,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
6,1,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
6,2,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
6,3,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
6,4,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
6,5,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
7,1,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
7,2,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
7,3,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
7,4,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
7,5,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
7,6,euclidean__args__dimensions=10_-_space=uniform_cube,0,0.0
5,1,mixed,1681,0.0672
5,2,mixed,1632,0.0653
5,3,mixed,1588,0.0635
5,4,mixed,1685,0.0674
6,1,mixed,1430,0.0572
6,2,mixed,1317,0.0527
6,3,mixed,1441,0.0576
6,4,mixed,1447,0.0579
6,5,mixed,1446,0.0578
7,1,mixed,413,0.0165
7,2,mixed,422,0.0169
7,3,mixed,389,0.0156
7,4,mixed,443,0.0177
7,5,mixed,447,0.0179
7,6,mixed,435,0.0174
