Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.18074181818181817,0.17436,0.79524,0.0,0.0,0.79172,0.0168,0.01888,0.17436,0.0,0.0168,0.0
Borda ranking,0.0004727272727272727,0.0,0.0026,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.03664,0.0,0.20152,0.0,0.0,0.20152,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.03680727272727273,0.0,0.20244,0.0,0.0,0.20244,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.03680727272727273,0.0,0.20244,0.0,0.0,0.20244,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.03680727272727273,0.0,0.20244,0.0,0.0,0.20244,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.03680727272727273,0.0,0.20244,0.0,0.0,0.20244,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03664,0.0,0.20152,0.0,0.0,0.20152,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.03680727272727273,0.0,0.20244,0.0,0.0,0.20244,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.03664,0.0,0.20152,0.0,0.0,0.20152,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.18183636363636363,0.17588,0.79996,0.0,0.0,0.79644,0.01648,0.01908,0.17588,0.0,0.01648,0.0
