NN-0,NN-1,NN-2,NN-3,NN-4,NN-5,NN-6,NN-7,NN-8,NN-9,NN-10,NN-11,NN-12,NN-13,NN-14,NN-15,NN-16,NN-17,NN-18,NN-19
156.55007201433182,156.54693946242332,156.7465060055256,156.67754977941513,156.3212849497795,156.6330606341362,156.42228904366493,157.09373992681503,156.78774872422218,156.3249945640564,156.69551834464073,156.2628272473812,156.28914594650269,156.77651035785675,156.3375304043293,156.436635106802,156.38230177760124,156.80820444226265,156.53300604224205,156.46549195051193
101.39175006747246,120.86350812017918,124.71576583385468,124.76902535557747,94.6478378623724,123.05125571787357,115.72099308669567,127.66091452538967,143.67008632421494,104.1338469684124,125.47215387225151,110.26953120529652,93.78193659335375,134.02043157815933,100.49604843556881,98.89928820729256,113.01292517781258,125.70476710796356,103.94156041741371,109.87907086312771
47.09092630445957,54.34079905599356,51.36467891186476,66.13487736135721,50.48639806360006,86.92310054600239,73.74106414616108,69.87154766917229,91.50326243042946,61.41384959220886,85.06544867157936,55.7164376527071,45.886925637722015,92.19149927794933,51.097789973020554,48.05294790863991,79.88902865350246,72.17956621944904,49.41983982920647,64.7920816168189
33.78987018018961,33.66453308239579,35.65480636432767,35.63169712200761,37.11984022706747,75.83036518096924,59.053783275187016,42.00707734376192,70.20025388896465,33.16692892089486,69.94860152900219,34.06368877366185,34.355870340019464,60.36626123636961,31.965797267854214,33.01556824147701,64.63895079493523,39.45212110504508,35.73707027733326,36.594670455902815
26.823058106005192,27.419265385717154,27.226406693458557,28.213590942323208,28.99127283319831,53.58325696736574,35.97554079815745,28.87599317729473,61.53671280294657,27.11390981078148,64.38515256345272,27.203481255099177,27.851409181952477,38.32552686333656,26.753460127860308,25.9992918074131,61.758571058511734,30.331240110099316,27.796931978315115,28.065784581005573
23.773718174546957,24.678501408547163,24.117061112076044,24.816664455458522,24.87732196971774,35.58097442239523,28.650744680315256,25.61788443289697,39.35360964760184,24.522046158090234,59.814801678061485,23.873420011252165,24.678355377167463,31.21784932538867,23.929037403315306,23.45285566151142,56.401511050760746,26.265972394496202,24.328076465055346,24.933514021337032
22.122830046340823,23.096747433766723,22.262421298772097,22.948377730324864,22.96237376332283,29.084351774305105,24.812698746100068,23.50610287860036,30.9666089117527,22.898403460159898,53.15095762163401,22.344749208539724,22.70168264210224,26.89137890934944,22.270075492560863,22.139456508681178,39.09629041701555,23.838901227340102,22.602240910753608,22.971721159294248
21.24034141562879,21.91361070983112,21.222989602014422,21.72593960724771,21.813929118216038,24.999466745182872,22.70693576335907,22.374891307204962,26.707935970276594,22.02044666185975,42.17514203488827,21.291963420808315,21.525013649836183,24.210061438381672,21.30078257061541,21.28632881678641,27.134085457772017,22.336818290874362,21.596218870952725,21.965757578611374
20.745101837441325,20.919093383476138,20.524246837943792,21.36550933867693,21.14339692145586,22.79994940944016,21.3678758200258,21.770431831479073,24.099063659086823,21.10229543596506,27.793504625558853,20.86212353222072,20.800988499075174,22.299486065283418,20.638932226225734,20.751074275001884,24.33254775777459,21.413085280917585,20.730549182742834,21.183629571460187
20.05525921471417,20.53514890372753,19.996224546805024,20.76429401151836,20.624942345544696,21.764713902026415,20.48621128126979,21.192854084074497,22.503909895196557,20.856808682903647,24.46410666964948,20.297464352101088,20.16809252090752,21.380732906982303,20.338821903802454,20.351093700155616,22.873214991763234,20.807961051352322,20.40773467347026,20.746630880981684
19.828987998887897,20.07117732334882,19.66356351505965,20.39428737014532,20.22330868896097,20.939914409071207,20.030086796730757,20.799175633117557,21.315593088045716,20.421974482014775,22.787722872570157,20.031492123380303,19.71800106205046,20.6155536044389,19.94734268821776,19.90464429743588,21.94353212416172,20.197025502100587,20.077577402815223,20.24925934150815
19.608100794255733,19.76432745810598,19.381658161059022,19.985851586796343,19.881300324574113,20.25793455168605,19.599113633856177,20.30416758498177,20.686830148100853,20.06020511314273,21.753851102665067,19.730445524677634,19.64563252404332,20.004469287581742,19.508958911523223,19.72571994550526,21.2341670114547,19.753596413880587,19.790588974952698,20.0456154756248
19.407336291857064,19.580063886009157,19.22297425661236,19.763736886903644,19.533450247719884,20.087904434651136,19.427788242697716,20.143229470588267,20.27027899492532,19.612633807584643,21.215423488989472,19.43496391363442,19.164239118807018,19.623754043132067,19.390466883778572,19.579743393696845,20.87208439782262,19.552854346111417,19.452745302580297,19.69096809392795
19.18401513900608,19.26769571006298,19.024914372712374,19.565278314054012,19.407017511315644,19.578942580148578,19.26113475114107,19.86355735734105,19.752585155889392,19.61360190063715,20.541509519331157,19.18452432192862,19.080772251822054,19.508281412534416,19.1044368064031,19.451940834522247,20.341297603212297,19.207061846740544,19.47708219103515,19.49611289706081
18.93373723141849,18.990160944871604,18.74850711412728,19.43206772953272,19.185243774205446,19.307616375386715,18.870534726884216,19.490489216521382,19.56849422585219,19.39538510143757,20.279024412855506,19.17779771052301,18.71337221749127,19.09713352844119,19.14843359682709,19.07157268654555,20.054327410645783,18.961856745183468,19.224198622629046,19.1516449553892
18.81330261193216,18.783281622454524,18.734400218352675,19.21412032842636,19.122359078377485,19.101983038708568,18.660485986620188,19.242214765399694,19.398603382520378,19.15978493914008,19.82216794602573,18.947750027291477,18.697263391688466,19.049942903220654,18.97828023787588,18.946827210485935,19.77797636669129,18.668015553615987,19.16420496441424,19.08420964796096
18.579337251372635,18.589850285090506,18.4166072960943,19.192110296338797,19.11399015597999,18.82133908290416,18.57930695079267,19.24484466854483,19.186219298280776,18.862646748311818,19.529407797381282,18.850245652720332,18.537598663941026,18.716960214078426,18.570538761094213,18.85112809203565,19.61291528493166,18.56662725098431,18.975057780742645,19.049469519406557
18.470267800614238,18.55693046655506,18.511189823038876,18.81038119830191,18.877817345783114,18.704441926442087,18.50689471233636,19.204950738698244,19.022468547336757,18.73844283632934,19.337401870638132,18.67626121174544,18.490988546982408,18.74285630695522,18.590136284939945,18.76458948571235,19.190056163817644,18.509711016900837,18.863790912553668,18.69768939446658
18.519576869904995,18.44133478589356,18.223755883052945,18.925416176207364,18.571610911749303,18.49425789900124,18.2815382219851,18.88713133893907,18.66443909984082,18.63871438521892,19.175824540667236,18.63490909524262,18.503759971819818,18.37971298955381,18.51773401349783,18.646758214570582,19.085917347110808,18.462397563271224,18.522246385924518,18.50480904430151
18.38151832483709,18.16963704675436,18.20381950493902,18.54742755368352,18.78801561705768,18.507990771904588,18.20039304252714,18.72369420528412,18.684891149401665,18.34751296043396,18.874375842511654,18.316203240305185,18.364188730716705,18.230836698785424,18.396026195026934,18.444579732604325,18.8105709226802,18.165597703307867,18.52688256558031,18.463245566003025
18.366218535229564,18.180831944569945,18.046245752833784,18.468024439178407,18.59217106178403,18.25218604458496,18.076742170378566,18.580636360682547,18.47103159595281,18.23725343309343,18.65978237427771,18.477003211155534,17.993053276091814,18.127027794718742,18.21037458907813,18.52850041165948,18.735844216309488,18.121848973445594,18.370361854322255,18.25745078548789
18.207551256753504,18.11433184053749,17.922239103354514,18.425307208672166,18.39330356568098,18.1647076215595,17.97118524927646,18.628735705278814,18.422234828583896,18.28757251985371,18.453057017177343,18.408693792298436,18.024646549485624,18.170250409282744,18.16883401758969,18.339062807150185,18.51489723753184,18.13058254122734,18.264738495461643,18.158763534389436
18.089257979765534,18.0607266058214,17.851031753234565,18.162092071957886,18.586852565407753,18.144784064032137,17.883001811802387,18.372540186159313,18.40029437188059,18.111179736442864,18.36891063954681,18.341776318382472,18.0997998053208,18.0464013684541,18.02742180787027,18.272217728197575,18.331716584041715,17.93089639302343,18.2149092676118,17.97958114836365
17.99733734317124,18.007328251376748,17.847049431875348,18.179470919072628,18.556705773808062,18.213202317245305,17.743392874486744,18.289240547455847,18.226963599212468,18.027014516294003,18.330952377989888,18.20557427406311,17.795901162549853,17.80856255721301,18.092759002931416,18.129349241033196,18.065894815139472,17.76790978386998,18.248928904533386,17.94550788216293
17.947277573868632,17.90078489203006,17.609379718080163,18.282786008901894,18.20489912107587,17.920428005978465,17.799084187485278,18.232364797964692,18.236634911969304,17.979277634061873,18.139636093750596,17.997879373840988,17.77749669831246,17.838990963064134,17.895612145774066,18.14609176106751,18.1064988989383,17.72488807607442,17.978658221662045,17.74204517994076
